"abbrev","fips","sector","year","ft_gp","ft_ug","pt_gp","pt_ug","tot_gp","tot_ug","tot_all"
"MI",26,3,"1996",242,809,0,0,242,809,1051
"MI",26,3,"1997",570,2108,0,0,570,2108,2678
"MI",26,3,"1998",603,2770,0,0,603,2770,3373
"MI",26,3,"1999",723,2683,0,5,723,2688,3411
"MI",26,3,"2000",817,2282,0,2,817,2284,3101
"MI",26,3,"2001",946,3953,0,3,946,3956,4902
"MI",26,3,"2002",1021,4279,0,142,1021,4421,5442
"MI",26,3,"2003",1023,4615,0,301,1023,4916,5939
"MI",26,3,"2004",1275,6174,0,558,1275,6732,8007
"MI",26,3,"2005",1221,6110,0,396,1221,6506,7727
"MI",26,3,"2006",1139,6585,0,636,1139,7221,8360
"MI",26,3,"2007",758,6202,0,864,758,7066,7824
"MI",26,3,"2008",637,6437,0,1212,637,7649,8286
"MI",26,3,"2009",437,7117,0,1580,437,8697,9134
"MI",26,3,"2010",348,7631,0,1724,348,9355,9703
"MI",26,3,"2011",393,6261,9,1919,402,8180,8582
"MI",26,3,"2012",329,4923,84,1506,413,6429,6842
"MI",26,3,"2013",348,4081,224,1463,572,5544,6116
"MI",26,3,"2014",319,3741,251,1007,570,4748,5318
"MN",27,3,"1980",0,1022,0,224,0,1246,1246
"MN",27,3,"1984",0,1553,0,2,0,1555,1555
"MN",27,3,"1985",0,1357,0,299,0,1656,1656
"MN",27,3,"1986",72,2600,55,335,127,2935,3062
"MN",27,3,"1987",0,2515,93,408,93,2923,3016
"MN",27,3,"1988",72,2702,55,381,127,3083,3210
"MN",27,3,"1989",46,2857,0,518,46,3375,3421
"MN",27,3,"1990",422,2780,0,521,422,3301,3723
"MN",27,3,"1991",562,2491,0,520,562,3011,3573
"MN",27,3,"1992",0,4357,0,598,0,4955,4955
"MN",27,3,"1993",0,3340,0,786,0,4126,4126
"MN",27,3,"1994",824,3384,0,1016,824,4400,5224
"MN",27,3,"1995",924,3015,0,1291,924,4306,5230
"MN",27,3,"1996",1046,3761,45,1670,1091,5431,6522
"MN",27,3,"1997",1055,3575,144,1517,1199,5092,6291
"MN",27,3,"1998",1676,4810,194,2010,1870,6820,8690
"MN",27,3,"1999",2332,5231,227,1992,2559,7223,9782
"MN",27,3,"2000",1264,5257,280,2036,1544,7293,8837
"MN",27,3,"2001",3336,6133,2083,2515,5419,8648,14067
"MN",27,3,"2002",5754,6182,4369,3707,10123,9889,20012
"MN",27,3,"2003",9273,6807,7614,4085,16887,10892,27779
"MN",27,3,"2004",14890,8439,9353,5318,24243,13757,38000
"MN",27,3,"2005",17688,8873,15870,6264,33558,15137,48695
"MN",27,3,"2006",21125,9393,20472,6869,41597,16262,57859
"MN",27,3,"2007",20955,8379,26399,9294,47354,17673,65027
"MN",27,3,"2008",28650,8788,25557,13090,54207,21878,76085
"MN",27,3,"2009",31316,12101,31310,21445,62626,33546,96172
"MN",27,3,"2010",32750,12784,37627,29548,70377,42332,112709
"MN",27,3,"2011",31613,11284,38590,27050,70203,38334,108537
"MN",27,3,"2012",30942,9795,39184,25590,70126,35385,105511
"MN",27,3,"2013",29781,10430,40168,22098,69949,32528,102477
"MN",27,3,"2014",27921,9336,42510,22517,70431,31853,102284
"MS",28,3,"1980",0,0,0,0,0,0,0
"MS",28,3,"1984",0,0,0,0,0,0,0
"MS",28,3,"1985",0,0,0,0,0,0,0
"MS",28,3,"1986",0,0,0,0,0,0,0
"MS",28,3,"1987",0,0,0,0,0,0,0
"MS",28,3,"1988",0,0,0,0,0,0,0
"MS",28,3,"1989",0,0,0,0,0,0,0
"MS",28,3,"1990",0,0,0,0,0,0,0
"MS",28,3,"1991",0,0,0,0,0,0,0
"MS",28,3,"1992",0,0,0,0,0,0,0
"MS",28,3,"1993",0,0,0,0,0,0,0
"MS",28,3,"1994",0,0,0,0,0,0,0
"MS",28,3,"1995",0,0,0,0,0,0,0
"MS",28,3,"1996",0,0,0,0,0,0,0
"MS",28,3,"1997",0,0,0,0,0,0,0
"MS",28,3,"1998",0,0,0,0,0,0,0
"MS",28,3,"1999",0,0,0,0,0,0,0
"MS",28,3,"2000",0,0,0,0,0,0,0
"MS",28,3,"2001",0,0,0,0,0,0,0
"MS",28,3,"2002",0,0,0,0,0,0,0
"MS",28,3,"2003",0,0,0,0,0,0,0
"MS",28,3,"2004",0,0,0,0,0,0,0
"MS",28,3,"2005",0,0,0,0,0,0,0
"MS",28,3,"2006",0,0,0,0,0,0,0
"MS",28,3,"2007",0,0,0,0,0,0,0
"MS",28,3,"2008",0,0,0,0,0,0,0
"MS",28,3,"2009",0,0,0,0,0,0,0
"MS",28,3,"2010",0,6,22,205,22,211,233
"MS",28,3,"2011",16,59,63,231,79,290,369
"MS",28,3,"2012",11,97,100,206,111,303,414
"MS",28,3,"2013",9,83,112,139,121,222,343
"MS",28,3,"2014",6,58,111,150,117,208,325
"MO",29,3,"1980",0,0,0,0,0,0,0
"MO",29,3,"1984",0,723,0,18,0,741,741
"MO",29,3,"1985",0,1051,0,11,0,1062,1062
"MO",29,3,"1986",0,951,0,8,0,959,959
"MO",29,3,"1987",0,1132,0,29,0,1161,1161
"MO",29,3,"1988",0,1052,0,32,0,1084,1084
"MO",29,3,"1989",0,1073,0,82,0,1155,1155
"MO",29,3,"1990",0,1777,0,108,0,1885,1885
"MO",29,3,"1991",10,1533,24,123,34,1656,1690
"MO",29,3,"1992",198,2278,0,124,198,2402,2600
"MO",29,3,"1993",130,4275,43,100,173,4375,4548
"MO",29,3,"1994",0,4369,0,172,0,4541,4541
"MO",29,3,"1995",0,4591,0,226,0,4817,4817
"MO",29,3,"1996",0,4678,0,240,0,4918,4918
"MO",29,3,"1997",0,4394,4,499,4,4893,4897
"MO",29,3,"1998",0,4969,16,373,16,5342,5358
"MO",29,3,"1999",0,4077,16,459,16,4536,4552
"MO",29,3,"2000",0,4256,13,984,13,5240,5253
"MO",29,3,"2001",63,5540,11,625,74,6165,6239
"MO",29,3,"2002",202,6191,23,849,225,7040,7265
"MO",29,3,"2003",312,6847,22,1046,334,7893,8227
"MO",29,3,"2004",430,7254,24,1223,454,8477,8931
"MO",29,3,"2005",441,8742,34,1118,475,9860,10335
"MO",29,3,"2006",409,8693,54,1655,463,10348,10811
"MO",29,3,"2007",268,7840,76,2156,344,9996,10340
"MO",29,3,"2008",215,8185,66,2423,281,10608,10889
"MO",29,3,"2009",133,11189,97,3112,230,14301,14531
"MO",29,3,"2010",151,12277,118,3609,269,15886,16155
"MO",29,3,"2011",120,12257,118,10287,238,22544,22782
"MO",29,3,"2012",91,9604,131,2883,222,12487,12709
"MO",29,3,"2013",161,10685,384,2879,545,13564,14109
"MO",29,3,"2014",147,8201,339,2480,486,10681,11167
"NE",31,3,"1980",0,0,0,0,0,0,0
"NE",31,3,"1984",0,0,0,0,0,0,0
"NE",31,3,"1985",0,0,0,0,0,0,0
"NE",31,3,"1986",0,251,0,74,0,325,325
"NE",31,3,"1987",0,312,0,87,0,399,399
"NE",31,3,"1988",0,744,0,151,0,895,895
"NE",31,3,"1989",0,1137,0,0,0,1137,1137
"NE",31,3,"1990",0,1132,0,0,0,1132,1132
"NE",31,3,"1991",0,1118,0,0,0,1118,1118
"NE",31,3,"1992",0,1057,0,89,0,1146,1146
"NE",31,3,"1993",0,790,0,0,0,790,790
"NE",31,3,"1994",0,1081,0,0,0,1081,1081
"NE",31,3,"1995",0,836,0,67,0,903,903
"NE",31,3,"1996",0,793,0,106,0,899,899
"NE",31,3,"1997",0,1036,0,127,0,1163,1163
"NE",31,3,"1998",0,989,0,54,0,1043,1043
"NE",31,3,"1999",0,1029,0,196,0,1225,1225
"NE",31,3,"2000",0,1239,0,155,0,1394,1394
"NE",31,3,"2001",0,1288,0,217,0,1505,1505
"NE",31,3,"2002",0,1405,0,154,0,1559,1559
"NE",31,3,"2003",0,1412,0,239,0,1651,1651
"NE",31,3,"2004",0,1583,0,144,0,1727,1727
"NE",31,3,"2005",0,1409,0,252,0,1661,1661
"NE",31,3,"2006",29,1886,0,356,29,2242,2271
"NE",31,3,"2007",39,1535,0,303,39,1838,1877
"NE",31,3,"2008",6,1401,0,392,6,1793,1799
"NE",31,3,"2009",9,1809,0,667,9,2476,2485
"NE",31,3,"2010",47,1768,3,853,50,2621,2671
"NE",31,3,"2011",22,1551,29,521,51,2072,2123
"NE",31,3,"2012",37,1248,42,695,79,1943,2022
"NE",31,3,"2013",73,1272,30,773,103,2045,2148
"NE",31,3,"2014",78,1135,29,735,107,1870,1977
"NV",32,3,"1980",0,0,0,0,0,0,0
"NV",32,3,"1984",0,0,0,0,0,0,0
"NV",32,3,"1985",0,0,0,0,0,0,0
"NV",32,3,"1986",0,163,0,58,0,221,221
"NV",32,3,"1987",0,288,0,0,0,288,288
"NV",32,3,"1988",0,194,0,76,0,270,270
"NV",32,3,"1989",0,15,0,0,0,15,15
"NV",32,3,"1990",0,147,0,0,0,147,147
"NV",32,3,"1991",0,256,0,76,0,332,332
"NV",32,3,"1992",0,245,0,0,0,245,245
"NV",32,3,"1993",0,246,0,91,0,337,337
"NV",32,3,"1994",0,267,0,101,0,368,368
"NV",32,3,"1995",172,499,0,59,172,558,730
"NV",32,3,"1996",301,706,0,109,301,815,1116
"NV",32,3,"1997",396,1022,0,84,396,1106,1502
"NV",32,3,"1998",620,1354,0,92,620,1446,2066
"NV",32,3,"1999",820,1676,2,30,822,1706,2528
"NV",32,3,"2000",851,1608,5,51,856,1659,2515
"NV",32,3,"2001",858,2194,2,52,860,2246,3106
"NV",32,3,"2002",1069,2877,6,88,1075,2965,4040
"NV",32,3,"2003",1097,3610,1,124,1098,3734,4832
"NV",32,3,"2004",1218,4236,0,293,1218,4529,5747
"NV",32,3,"2005",1444,5254,0,269,1444,5523,6967
"NV",32,3,"2006",1384,4683,17,399,1401,5082,6483
"NV",32,3,"2007",1159,4480,27,485,1186,4965,6151
"NV",32,3,"2008",1160,4870,16,653,1176,5523,6699
"NV",32,3,"2009",886,4822,5,903,891,5725,6616
"NV",32,3,"2010",768,5365,20,886,788,6251,7039
"NV",32,3,"2011",781,5052,27,1145,808,6197,7005
"NV",32,3,"2012",604,4385,21,990,625,5375,6000
"NV",32,3,"2013",514,4334,125,798,639,5132,5771
"NV",32,3,"2014",403,3585,100,570,503,4155,4658
"NH",33,3,"1980",0,1909,0,511,0,2420,2420
"NH",33,3,"1984",0,2155,0,984,0,3139,3139
"NH",33,3,"1985",0,1861,0,890,0,2751,2751
"NH",33,3,"1986",0,1564,0,1120,0,2684,2684
"NH",33,3,"1987",0,1678,0,1293,0,2971,2971
"NH",33,3,"1988",0,754,0,354,0,1108,1108
"NH",33,3,"1989",0,789,0,370,0,1159,1159
"NH",33,3,"1990",0,1417,0,1578,0,2995,2995
"NH",33,3,"1991",0,1921,0,1345,0,3266,3266
"NH",33,3,"1992",0,2076,0,1225,0,3301,3301
"NH",33,3,"1993",0,2120,0,1362,0,3482,3482
"NH",33,3,"1994",0,2024,0,1351,0,3375,3375
"NH",33,3,"1995",0,2019,0,1304,0,3323,3323
"NH",33,3,"1996",0,2043,0,1399,0,3442,3442
"NH",33,3,"1997",0,2261,0,1471,0,3732,3732
"NH",33,3,"1998",0,2414,0,1858,0,4272,4272
"NH",33,3,"1999",0,2429,0,2141,0,4570,4570
"NH",33,3,"2000",0,2149,0,1716,0,3865,3865
"NH",33,3,"2001",0,2399,0,1356,0,3755,3755
"NH",33,3,"2002",0,2720,0,1198,0,3918,3918
"NH",33,3,"2003",93,2831,0,1277,93,4108,4201
"NH",33,3,"2004",78,2907,0,1362,78,4269,4347
"NH",33,3,"2005",101,2851,0,1451,101,4302,4403
"NH",33,3,"2006",104,2865,0,1756,104,4621,4725
"NH",33,3,"2007",114,2832,0,1280,114,4112,4226
"NH",33,3,"2008",122,2665,0,2020,122,4685,4807
"NH",33,3,"2009",91,3606,0,1693,91,5299,5390
"NH",33,3,"2010",55,3197,0,1644,55,4841,4896
"NH",33,3,"2011",19,1648,0,2543,19,4191,4210
"NH",33,3,"2012",117,2439,0,1152,117,3591,3708
"NH",33,3,"2013",128,2009,4,907,132,2916,3048
"NH",33,3,"2014",68,1448,16,711,84,2159,2243
"NJ",34,3,"1980",0,506,0,0,0,506,506
"NJ",34,3,"1984",0,569,0,146,0,715,715
"NJ",34,3,"1985",0,615,0,170,0,785,785
"NJ",34,3,"1986",0,551,0,179,0,730,730
"NJ",34,3,"1987",0,539,0,181,0,720,720
"NJ",34,3,"1988",0,595,0,136,0,731,731
"NJ",34,3,"1989",0,962,0,501,0,1463,1463
"NJ",34,3,"1990",0,912,0,532,0,1444,1444
"NJ",34,3,"1991",0,1035,0,549,0,1584,1584
"NJ",34,3,"1992",0,1007,0,587,0,1594,1594
"NJ",34,3,"1993",0,1151,0,432,0,1583,1583
"NJ",34,3,"1994",0,1065,0,393,0,1458,1458
"NJ",34,3,"1995",0,1221,0,351,0,1572,1572
"NJ",34,3,"1996",0,1327,0,325,0,1652,1652
"NJ",34,3,"1997",0,1678,0,469,0,2147,2147
"NJ",34,3,"1998",0,1757,0,400,0,2157,2157
"NJ",34,3,"1999",0,1706,0,380,0,2086,2086
"NJ",34,3,"2000",0,1727,0,396,0,2123,2123
"NJ",34,3,"2001",0,1868,0,370,0,2238,2238
"NJ",34,3,"2002",0,2003,0,388,0,2391,2391
"NJ",34,3,"2003",0,2061,0,419,0,2480,2480
"NJ",34,3,"2004",0,2337,0,528,0,2865,2865
"NJ",34,3,"2005",0,2589,0,566,0,3155,3155
"NJ",34,3,"2006",0,3096,0,604,0,3700,3700
"NJ",34,3,"2007",0,3336,0,573,0,3909,3909
"NJ",34,3,"2008",0,3600,0,632,0,4232,4232
"NJ",34,3,"2009",0,3828,0,719,0,4547,4547
"NJ",34,3,"2010",74,4136,65,1351,139,5487,5626
"NJ",34,3,"2011",72,3761,121,1296,193,5057,5250
"NJ",34,3,"2012",59,3259,153,1185,212,4444,4656
"NJ",34,3,"2013",126,4506,349,2096,475,6602,7077
"NJ",34,3,"2014",135,4479,305,1948,440,6427,6867
"NM",35,3,"1980",0,710,0,364,0,1074,1074
"NM",35,3,"1984",8,535,0,311,8,846,854
"NM",35,3,"1985",8,467,16,353,24,820,844
"NM",35,3,"1986",18,691,49,746,67,1437,1504
"NM",35,3,"1987",3,563,18,559,21,1122,1143
"NM",35,3,"1988",8,638,34,736,42,1374,1416
"NM",35,3,"1989",12,617,58,659,70,1276,1346
"NM",35,3,"1990",9,530,51,582,60,1112,1172
"NM",35,3,"1991",532,789,518,599,1050,1388,2438
"NM",35,3,"1992",560,1047,553,637,1113,1684,2797
"NM",35,3,"1993",397,2361,123,696,520,3057,3577
"NM",35,3,"1994",446,2142,85,751,531,2893,3424
"NM",35,3,"1995",555,2321,94,560,649,2881,3530
"NM",35,3,"1996",661,2602,125,600,786,3202,3988
"NM",35,3,"1997",764,2843,126,639,890,3482,4372
"NM",35,3,"1998",1103,3233,186,738,1289,3971,5260
"NM",35,3,"1999",1280,3639,163,917,1443,4556,5999
"NM",35,3,"2000",1160,3976,127,1012,1287,4988,6275
"NM",35,3,"2001",1158,4171,171,949,1329,5120,6449
"NM",35,3,"2002",1065,4477,165,1031,1230,5508,6738
"NM",35,3,"2003",1167,4820,247,1088,1414,5908,7322
"NM",35,3,"2004",1383,5552,199,1312,1582,6864,8446
"NM",35,3,"2005",1349,5587,206,1258,1555,6845,8400
"NM",35,3,"2006",1216,5226,4,757,1220,5983,7203
"NM",35,3,"2007",1054,4963,4,605,1058,5568,6626
"NM",35,3,"2008",913,5125,8,660,921,5785,6706
"NM",35,3,"2009",798,5285,34,790,832,6075,6907
"NM",35,3,"2010",674,6400,28,1058,702,7458,8160
"NM",35,3,"2011",641,6081,31,1098,672,7179,7851
"NM",35,3,"2012",531,5117,23,951,554,6068,6622
"NM",35,3,"2013",461,4526,18,893,479,5419,5898
"NM",35,3,"2014",309,3703,17,860,326,4563,4889
"NY",36,3,"1980",0,9177,0,4025,0,13202,13202
"NY",36,3,"1984",71,13287,2,5046,73,18333,18406
"NY",36,3,"1985",88,12636,0,4205,88,16841,16929
"NY",36,3,"1986",113,11618,4,5342,117,16960,17077
"NY",36,3,"1987",130,11711,0,4520,130,16231,16361
"NY",36,3,"1988",158,10887,5,4536,163,15423,15586
"NY",36,3,"1989",160,8777,4,3439,164,12216,12380
"NY",36,3,"1990",200,11922,4,3974,204,15896,16100
"NY",36,3,"1991",298,13004,9,4180,307,17184,17491
"NY",36,3,"1992",346,12395,12,3449,358,15844,16202
"NY",36,3,"1993",363,12562,21,3527,384,16089,16473
"NY",36,3,"1994",383,12417,16,3587,399,16004,16403
"NY",36,3,"1995",281,13270,28,3666,309,16936,17245
"NY",36,3,"1996",271,13439,15,3820,286,17259,17545
"NY",36,3,"1997",270,12964,22,3534,292,16498,16790
"NY",36,3,"1998",529,12226,188,4533,717,16759,17476
"NY",36,3,"1999",498,12655,284,4354,782,17009,17791
"NY",36,3,"2000",608,12966,319,3867,927,16833,17760
"NY",36,3,"2001",717,14820,229,4280,946,19100,20046
"NY",36,3,"2002",659,15733,262,3597,921,19330,20251
"NY",36,3,"2003",767,16376,231,2212,998,18588,19586
"NY",36,3,"2004",822,17286,210,2008,1032,19294,20326
"NY",36,3,"2005",833,18337,227,3235,1060,21572,22632
"NY",36,3,"2006",874,17759,271,3155,1145,20914,22059
"NY",36,3,"2007",895,18163,326,3524,1221,21687,22908
"NY",36,3,"2008",982,18577,321,3744,1303,22321,23624
"NY",36,3,"2009",1129,20654,372,3953,1501,24607,26108
"NY",36,3,"2010",1232,21613,375,4525,1607,26138,27745
"NY",36,3,"2011",1234,21183,326,4626,1560,25809,27369
"NY",36,3,"2012",1269,22822,489,5254,1758,28076,29834
"NY",36,3,"2013",1786,22527,1010,6244,2796,28771,31567
"NY",36,3,"2014",1877,22355,1042,6004,2919,28359,31278
"NC",37,3,"1980",0,216,0,52,0,268,268
"NC",37,3,"1984",0,122,0,70,0,192,192
"NC",37,3,"1985",0,170,0,53,0,223,223
"NC",37,3,"1986",0,532,0,221,0,753,753
"NC",37,3,"1987",0,453,0,218,0,671,671
"NC",37,3,"1988",0,484,0,194,0,678,678
"NC",37,3,"1989",0,127,0,51,0,178,178
"NC",37,3,"1990",0,302,0,41,0,343,343
"NC",37,3,"1991",0,247,0,3,0,250,250
"NC",37,3,"1992",0,231,0,14,0,245,245
"NC",37,3,"1993",0,400,0,197,0,597,597
"NC",37,3,"1994",0,534,0,113,0,647,647
"NC",37,3,"1995",0,536,0,99,0,635,635
"NC",37,3,"1996",0,352,0,88,0,440,440
"NC",37,3,"1997",0,551,0,99,0,650,650
"NC",37,3,"1998",0,636,0,177,0,813,813
"NC",37,3,"1999",0,672,0,208,0,880,880
"NC",37,3,"2000",0,783,0,260,0,1043,1043
"NC",37,3,"2001",0,845,0,364,0,1209,1209
"NC",37,3,"2002",0,1212,0,406,0,1618,1618
"NC",37,3,"2003",23,1295,0,362,23,1657,1680
"NC",37,3,"2004",241,1686,0,392,241,2078,2319
"NC",37,3,"2005",534,2367,0,555,534,2922,3456
"NC",37,3,"2006",729,2986,0,586,729,3572,4301
"NC",37,3,"2007",509,3161,0,650,509,3811,4320
"NC",37,3,"2008",453,3880,0,767,453,4647,5100
"NC",37,3,"2009",749,4512,103,1141,852,5653,6505
"NC",37,3,"2010",1443,6240,1970,4742,3413,10982,14395
"NC",37,3,"2011",1555,6399,1948,4749,3503,11148,14651
"NC",37,3,"2012",1588,5899,1908,4494,3496,10393,13889
"NC",37,3,"2013",1550,6633,2034,5145,3584,11778,15362
"NC",37,3,"2014",1320,6584,1954,5380,3274,11964,15238
"ND",38,3,"1980",0,0,0,0,0,0,0
"ND",38,3,"1984",0,0,0,0,0,0,0
"ND",38,3,"1985",0,0,0,0,0,0,0
"ND",38,3,"1986",0,0,0,0,0,0,0
"ND",38,3,"1987",0,0,0,0,0,0,0
"ND",38,3,"1988",0,0,0,0,0,0,0
"ND",38,3,"1989",0,0,0,0,0,0,0
"ND",38,3,"1990",0,0,0,0,0,0,0
"ND",38,3,"1991",0,0,0,0,0,0,0
"ND",38,3,"1992",0,0,0,0,0,0,0
"ND",38,3,"1993",0,52,0,3,0,55,55
"ND",38,3,"1994",0,54,0,0,0,54,54
"ND",38,3,"1995",0,126,0,0,0,126,126
"ND",38,3,"1996",0,24,0,0,0,24,24
"ND",38,3,"1997",0,13,0,2,0,15,15
"ND",38,3,"1998",0,17,0,0,0,17,17
"ND",38,3,"1999",0,210,0,3,0,213,213
"ND",38,3,"2000",0,111,0,0,0,111,111
"ND",38,3,"2001",0,38,0,0,0,38,38
"ND",38,3,"2002",0,80,0,11,0,91,91
"ND",38,3,"2003",0,284,0,108,0,392,392
"ND",38,3,"2004",0,415,0,307,0,722,722
"ND",38,3,"2005",0,342,0,234,0,576,576
"ND",38,3,"2006",0,281,0,362,0,643,643
"ND",38,3,"2007",0,378,0,376,0,754,754
"ND",38,3,"2008",0,423,0,531,0,954,954
"ND",38,3,"2009",0,753,0,1099,0,1852,1852
"ND",38,3,"2010",0,759,0,1006,0,1765,1765
"ND",38,3,"2011",0,515,0,734,0,1249,1249
"ND",38,3,"2012",0,362,0,638,0,1000,1000
"ND",38,3,"2013",0,526,0,438,0,964,964
"ND",38,3,"2014",0,426,0,367,0,793,793
"OH",39,3,"1980",0,694,0,36,0,730,730
"OH",39,3,"1984",0,2407,0,6,0,2413,2413
"OH",39,3,"1985",0,2306,0,107,0,2413,2413
"OH",39,3,"1986",0,3773,0,207,0,3980,3980
"OH",39,3,"1987",0,3718,0,265,0,3983,3983
"OH",39,3,"1988",0,3936,0,304,0,4240,4240
"OH",39,3,"1989",0,2969,0,212,0,3181,3181
"OH",39,3,"1990",0,3192,0,176,0,3368,3368
"OH",39,3,"1991",0,3492,0,288,0,3780,3780
"OH",39,3,"1992",0,4733,0,843,0,5576,5576
"OH",39,3,"1993",0,3540,0,820,0,4360,4360
"OH",39,3,"1994",0,3454,0,739,0,4193,4193
"OH",39,3,"1995",0,3073,0,606,0,3679,3679
"OH",39,3,"1996",0,2802,0,696,0,3498,3498
"OH",39,3,"1997",0,3205,0,506,0,3711,3711
"OH",39,3,"1998",0,3822,0,366,0,4188,4188
"OH",39,3,"1999",0,3818,0,376,0,4194,4194
"OH",39,3,"2000",26,4141,0,361,26,4502,4528
"OH",39,3,"2001",139,5275,0,263,139,5538,5677
"OH",39,3,"2002",260,5830,0,468,260,6298,6558
"OH",39,3,"2003",231,6585,0,724,231,7309,7540
"OH",39,3,"2004",210,6748,0,821,210,7569,7779
"OH",39,3,"2005",209,8002,0,1020,209,9022,9231
"OH",39,3,"2006",202,9033,0,1301,202,10334,10536
"OH",39,3,"2007",139,10132,0,2054,139,12186,12325
"OH",39,3,"2008",124,12111,0,2390,124,14501,14625
"OH",39,3,"2009",80,14612,0,3031,80,17643,17723
"OH",39,3,"2010",64,14716,0,3776,64,18492,18556
"OH",39,3,"2011",87,14526,0,3747,87,18273,18360
"OH",39,3,"2012",55,12901,2,3933,57,16834,16891
"OH",39,3,"2013",219,13237,605,5021,824,18258,19082
"OH",39,3,"2014",209,11530,489,4667,698,16197,16895
"OK",40,3,"1980",0,1766,0,0,0,1766,1766
"OK",40,3,"1984",0,1092,0,583,0,1675,1675
"OK",40,3,"1985",0,1092,0,583,0,1675,1675
"OK",40,3,"1986",0,1517,0,652,0,2169,2169
"OK",40,3,"1987",0,2167,0,215,0,2382,2382
"OK",40,3,"1988",0,2123,0,170,0,2293,2293
"OK",40,3,"1989",0,2123,0,170,0,2293,2293
"OK",40,3,"1990",0,2123,0,170,0,2293,2293
"OK",40,3,"1991",0,1398,0,182,0,1580,1580
"OK",40,3,"1992",0,1590,0,142,0,1732,1732
"OK",40,3,"1993",0,1117,0,64,0,1181,1181
"OK",40,3,"1994",0,1490,0,0,0,1490,1490
"OK",40,3,"1995",0,1319,0,0,0,1319,1319
"OK",40,3,"1996",0,1292,0,0,0,1292,1292
"OK",40,3,"1997",0,1513,0,0,0,1513,1513
"OK",40,3,"1998",0,1899,0,0,0,1899,1899
"OK",40,3,"1999",174,2642,0,0,174,2642,2816
"OK",40,3,"2000",277,3239,0,0,277,3239,3516
"OK",40,3,"2001",297,2956,0,0,297,2956,3253
"OK",40,3,"2002",398,3416,0,0,398,3416,3814
"OK",40,3,"2003",390,3239,0,0,390,3239,3629
"OK",40,3,"2004",420,3582,0,0,420,3582,4002
"OK",40,3,"2005",363,3722,0,0,363,3722,4085
"OK",40,3,"2006",309,3762,0,29,309,3791,4100
"OK",40,3,"2007",238,3944,0,67,238,4011,4249
"OK",40,3,"2008",177,4028,0,112,177,4140,4317
"OK",40,3,"2009",143,4517,0,209,143,4726,4869
"OK",40,3,"2010",149,5010,0,285,149,5295,5444
"OK",40,3,"2011",103,4575,0,409,103,4984,5087
"OK",40,3,"2012",101,4346,0,537,101,4883,4984
"OK",40,3,"2013",88,3972,40,653,128,4625,4753
"OK",40,3,"2014",62,3287,37,536,99,3823,3922
"OR",41,3,"1980",0,164,0,0,0,164,164
"OR",41,3,"1984",0,1074,0,0,0,1074,1074
"OR",41,3,"1985",0,976,0,0,0,976,976
"OR",41,3,"1986",0,772,0,0,0,772,772
"OR",41,3,"1987",0,914,0,0,0,914,914
"OR",41,3,"1988",0,868,0,0,0,868,868
"OR",41,3,"1989",0,711,0,0,0,711,711
"OR",41,3,"1990",0,705,0,22,0,727,727
"OR",41,3,"1991",0,777,0,17,0,794,794
"OR",41,3,"1992",0,748,0,0,0,748,748
"OR",41,3,"1993",0,912,0,0,0,912,912
"OR",41,3,"1994",0,922,0,0,0,922,922
"OR",41,3,"1995",0,765,0,0,0,765,765
"OR",41,3,"1996",0,768,0,16,0,784,784
"OR",41,3,"1997",0,838,0,85,0,923,923
"OR",41,3,"1998",127,1362,0,72,127,1434,1561
"OR",41,3,"1999",221,1915,0,83,221,1998,2219
"OR",41,3,"2000",247,2190,0,133,247,2323,2570
"OR",41,3,"2001",255,2611,0,189,255,2800,3055
"OR",41,3,"2002",301,3081,0,288,301,3369,3670
"OR",41,3,"2003",298,3581,0,401,298,3982,4280
"OR",41,3,"2004",373,4357,0,505,373,4862,5235
"OR",41,3,"2005",367,4410,0,601,367,5011,5378
"OR",41,3,"2006",355,4090,0,662,355,4752,5107
"OR",41,3,"2007",258,3933,0,840,258,4773,5031
"OR",41,3,"2008",237,3419,0,1414,237,4833,5070
"OR",41,3,"2009",202,3785,0,1591,202,5376,5578
"OR",41,3,"2010",173,4550,0,1542,173,6092,6265
"OR",41,3,"2011",125,3769,0,1471,125,5240,5365
"OR",41,3,"2012",75,3389,56,1659,131,5048,5179
"OR",41,3,"2013",82,2972,128,1347,210,4319,4529
"OR",41,3,"2014",55,2676,202,1426,257,4102,4359
"PA",42,3,"1980",0,2954,0,73,0,3027,3027
"PA",42,3,"1984",0,4120,0,57,0,4177,4177
"PA",42,3,"1985",0,4035,0,72,0,4107,4107
"PA",42,3,"1986",0,4252,0,92,0,4344,4344
"PA",42,3,"1987",0,4032,0,262,0,4294,4294
"PA",42,3,"1988",0,4223,0,100,0,4323,4323
"PA",42,3,"1989",0,4232,0,172,0,4404,4404
"PA",42,3,"1990",0,4897,0,294,0,5191,5191
"PA",42,3,"1991",0,4625,0,500,0,5125,5125
"PA",42,3,"1992",0,4819,0,341,0,5160,5160
"PA",42,3,"1993",0,4873,0,368,0,5241,5241
"PA",42,3,"1994",0,4403,0,240,0,4643,4643
"PA",42,3,"1995",0,4631,0,457,0,5088,5088
"PA",42,3,"1996",0,4723,0,688,0,5411,5411
"PA",42,3,"1997",0,5219,0,920,0,6139,6139
"PA",42,3,"1998",0,6047,0,721,0,6768,6768
"PA",42,3,"1999",0,5480,0,1509,0,6989,6989
