"state","year_fiscal","appropriations_local","appropriations_net","enrollment_fte","appropriations_state","fips","year_cpi","year_axis","cpi_all","cpi_multiplier","approp_state_aged","approp_local_aged","approp_perstudent_aged"
"Florida",2009,0,3553448081.02,564963,3553448081.02,"12",2008,"'08–'09",215.303,1.09954807875413,3907187010.43808,0,6915.82813465321
"Florida",2010,0,3417527815,607246,3417527815,"12",2009,"'09–'10",214.537,1.10347399283107,3771153063.6293,0,6210.25591544333
"Florida",2011,0,3552648686,636320,3552648686,"12",2010,"'10–'11",218.056,1.08566606743222,3856990127.89786,0,6061.40012556239
"Florida",2012,0,3075717730,641464,3075717730,"12",2011,"'11–'12",224.939,1.0524453296227,3237024760.17623,0,5046.30775877715
"Florida",2013,0,2787329058,619195,2787329058,"12",2012,"'12–'13",229.594,1.03110708467991,2874034739.03799,0,4641.56645166384
"Florida",2014,0,3318516196,608221,3318516196,"12",2013,"'13–'14",232.957,1.01622187785729,3372348760.39894,0,5544.61085756483
"Florida",2015,0,3556528216,601292,3556528216,"12",2014,"'14–'15",236.736,1,3556528216,0,5914.8104681253
"Georgia",2000,0,1633933294,172909,1633933294,"13",1999,"'99–'00",166.6,1.4209843937575,2321793711.21479,0,13427.836094216
"Georgia",2001,6e+06,1932017413,234998,1926017413,"13",2000,"'00–'01",172.2,1.37477351916376,2647837736.8407,8248641.11498258,11302.5914176107
"Georgia",2002,6e+06,1953022364,259566,1947022364,"13",2001,"'01–'02",177.1,1.33673630717109,2602655484.83289,8020417.84302654,10057.850036892
"Georgia",2003,6e+06,1981523482,283391,1975523482,"13",2002,"'02–'03",179.9,1.31593107281823,2599652735.04587,7895586.43690939,9201.2390001192
"Georgia",2004,4e+06,2015342265,289382,2011342265,"13",2003,"'03–'04",184,1.28660869565217,2587810448.08174,5146434.7826087,8960.32539295584
"Georgia",2005,2e+06,2125077818,295356,2123077818,"13",2004,"'04–'05",188.9,1.25323451561673,2660714400.85785,2506469.03123346,9016.98584044029
"Georgia",2006,0,2289357872,292655,2289357872,"13",2005,"'05–'06",195.3,1.21216589861751,2775081542.16995,0,9482.43338459946
"Georgia",2007,1040152,2404682114,297755,2403641962,"13",2006,"'06–'07",201.6,1.17428571428571,2822562418.23429,1221435.63428571,9483.58164890118
"Georgia",2008,0,2553875526,310759,2553875526,"13",2007,"'07–'08",207.342,1.14176577827936,2915927677.57201,0,9383.24449998877
"Georgia",2009,0,2472055247,330866.4,2472055247,"13",2008,"'08–'09",215.303,1.09954807875413,2718143597.41291,0,8215.23006691798
"Georgia",2010,0,2583855236,370732.1,2583855236,"13",2009,"'09–'10",214.537,1.10347399283107,2851217054.1664,0,7690.77469732563
"Georgia",2011,0,2602003838,385615,2602003838,"13",2010,"'10–'11",218.056,1.08566606743222,2824907274.245,0,7325.71936839853
"Georgia",2012,0,2378917649,379004,2378917649,"13",2011,"'11–'12",224.939,1.0524453296227,2503680769.24706,0,6605.94814104088
"Georgia",2013,0,2291564868,354989,2291564868,"13",2012,"'12–'13",229.594,1.03110708467991,2362848770.39839,0,6656.11827520963
"Georgia",2014,0,2443562222,347733,2443562222,"13",2013,"'13–'14",232.957,1.01622187785729,2483201389.90196,0,7141.11513690666
"Georgia",2015,0,2544705313,344325,2544705313,"13",2014,"'14–'15",236.736,1,2544705313,0,7390.41694039062
"Hawaii",2000,0,280513000,32484,280513000,"15",1999,"'99–'00",166.6,1.4209843937575,398604595.246098,0,12270.7977849433
"Hawaii",2001,0,267812000,31810,267812000,"15",2000,"'00–'01",172.2,1.37477351916376,368180845.714286,0,11574.3742758342
"Hawaii",2002,0,270527000,33063,270527000,"15",2001,"'01–'02",177.1,1.33673630717109,361623262.970073,0,10937.4002047628
"Hawaii",2003,0,302030048,34420,302030048,"15",2002,"'02–'03",179.9,1.31593107281823,397450725.087982,0,11547.0867253917
"Hawaii",2004,0,328445296,35441,328445296,"15",2003,"'03–'04",184,1.28660869565217,422580573.879652,0,11923.4946496897
"Hawaii",2005,0,334792180,35733,334792180,"15",2004,"'04–'05",188.9,1.25323451561673,419573115.534569,0,11741.8944822592
"Hawaii",2006,0,384013383,35337,384013383,"15",2005,"'05–'06",195.3,1.21216589861751,465487927.485346,0,13172.8196362268
"Hawaii",2007,0,426961535,35010,426961535,"15",2006,"'06–'07",201.6,1.17428571428571,501374831.1,0,14320.903487575
"Hawaii",2008,0,466408097,35469,466408097,"15",2007,"'07–'08",207.342,1.14176577827936,532528803.867002,0,15013.9221254335
"Hawaii",2009,0,501392119,37070,501392119,"15",2008,"'08–'09",215.303,1.09954807875413,551304741.148911,0,14871.9919381956
"Hawaii",2010,0,473803715,39857,473803715,"15",2009,"'09–'10",214.537,1.10347399283107,522830077.209246,0,13117.6475201156
"Hawaii",2011,0,435243076,40743,435243076,"15",2010,"'10–'11",218.056,1.08566606743222,472528638.698022,0,11597.7870725774
"Hawaii",2012,0,433323877,40612,433323877,"15",2011,"'11–'12",224.939,1.0524453296227,456049690.56265,0,11229.4319551524
"Hawaii",2013,0,438366446,41088,438366446,"15",2012,"'12–'13",229.594,1.03110708467991,452002748.156555,0,11000.8457008507
"Hawaii",2014,0,444736681,40417,444736681,"15",2013,"'13–'14",232.957,1.01622187785729,451951145.117837,0,11182.2041496855
"Hawaii",2015,0,478070495,39432,478070495,"15",2014,"'14–'15",236.736,1,478070495,0,12123.9220683709
"Idaho",2000,10822200,273092900,38853,262270700,"16",1999,"'99–'00",166.6,1.4209843937575,372682571.639856,15378177.3061225,9987.92239842428
"Idaho",2001,8256000,299412525,39495,291156525,"16",2000,"'00–'01",172.2,1.37477351916376,400274280.501742,11350130.174216,10422.1904209636
"Idaho",2002,7211800,334792625,41593,327580825,"16",2001,"'01–'02",177.1,1.33673630717109,437889182.310559,9640274.90005647,10759.730176006
